model_col,series_code,unit,freq,description,tags
google_mobility_united_states_florida_residential,google_mobility.united_states.florida.residential,index,daily,Google Mobility United States Florida Residential,"google,mobility"
google_mobility_united_states_florida_retail,google_mobility.united_states.florida.retail,index,daily,Google Mobility United States Florida Retail,"google,mobility"
google_mobility_united_states_florida_transit,google_mobility.united_states.florida.transit,index,daily,Google Mobility United States Florida Transit,"google,mobility"
google_mobility_united_states_florida_work,google_mobility.united_states.florida.work,index,daily,Google Mobility United States Florida Work,"google,mobility"
google_mobility_united_states_georgia_grocery,google_mobility.united_states.georgia.grocery,index,daily,Google Mobility United States Georgia Grocery,"google,mobility"
google_mobility_united_states_georgia_parks,google_mobility.united_states.georgia.parks,index,daily,Google Mobility United States Georgia Parks,"google,mobility"
google_mobility_united_states_georgia_residential,google_mobility.united_states.georgia.residential,index,daily,Google Mobility United States Georgia Residential,"google,mobility"
google_mobility_united_states_georgia_retail,google_mobility.united_states.georgia.retail,index,daily,Google Mobility United States Georgia Retail,"google,mobility"
google_mobility_united_states_georgia_transit,google_mobility.united_states.georgia.transit,index,daily,Google Mobility United States Georgia Transit,"google,mobility"
google_mobility_united_states_georgia_work,google_mobility.united_states.georgia.work,index,daily,Google Mobility United States Georgia Work,"google,mobility"
google_mobility_united_states_grocery,google_mobility.united_states.grocery,index,daily,Google Mobility United States Grocery,"google,mobility"
google_mobility_united_states_hawaii_grocery,google_mobility.united_states.hawaii.grocery,index,daily,Google Mobility United States Hawaii Grocery,"google,mobility"
google_mobility_united_states_hawaii_parks,google_mobility.united_states.hawaii.parks,index,daily,Google Mobility United States Hawaii Parks,"google,mobility"
google_mobility_united_states_hawaii_residential,google_mobility.united_states.hawaii.residential,index,daily,Google Mobility United States Hawaii Residential,"google,mobility"
google_mobility_united_states_hawaii_retail,google_mobility.united_states.hawaii.retail,index,daily,Google Mobility United States Hawaii Retail,"google,mobility"
google_mobility_united_states_hawaii_transit,google_mobility.united_states.hawaii.transit,index,daily,Google Mobility United States Hawaii Transit,"google,mobility"
google_mobility_united_states_hawaii_work,google_mobility.united_states.hawaii.work,index,daily,Google Mobility United States Hawaii Work,"google,mobility"
google_mobility_united_states_idaho_grocery,google_mobility.united_states.idaho.grocery,index,daily,Google Mobility United States Idaho Grocery,"google,mobility"
google_mobility_united_states_idaho_parks,google_mobility.united_states.idaho.parks,index,daily,Google Mobility United States Idaho Parks,"google,mobility"
google_mobility_united_states_idaho_residential,google_mobility.united_states.idaho.residential,index,daily,Google Mobility United States Idaho Residential,"google,mobility"
